Seq,CR_No,Comp_Name_Eng,Comp_Name_Chi,Replaced_Name_Eng,Replaced_Name_Chi,Replaced_Eff_date
1,"1517291","(HONGKONG) SCHNEIDER WINGOAL TIANJIN ELECTRIC LIMITED","(香港)施耐德萬高天津電氣有限公司","Company Registration Number 1517291 Limited","公司註冊編號 1517291 有限公司"," 15-10-2012"
2,"1601080","A POWER CONSTRUCTION ENGINEERING LIMITED","金力建築工程有限公司","A POWER CONSTRUCTION ENGINEERING LIMITED","公司註冊編號 1601080 有限公司"," 22-11-2017"
3,"1541353","AAPOM SANITARY WARE FOSHAN SHARES CO., LIMITED","箭牌衛浴佛山股份有限公司","AAPOM SANITARY WARE FOSHAN SHARES CO., LIMITED","公司註冊編號 1541353 有限公司"," 03-01-2013"
4,"1579830","ABB (HONGKONG) INT'L GROUP LIMITED","愛嬰元(香港)國際集團有限公司","Company Registration Number 1579830 Limited","愛嬰元(香港)國際集團有限公司"," 31-01-2012"
5,"1705449","ABB ELECTRIC (CHINA) CO., LIMITED","","Company Registration Number 1705449 Limited",""," 11-03-2013"
6,"1580279","ABB ELECTRONIC GROUP LIMITED","","Company Registration Number 1580279 Limited",""," 07-02-2012"
7,"1581012","ABB GROUP LIMITED","","Company Registration Number 1581012 Limited",""," 20-01-2012"
8,"1591933","ABOLUO SANITARY WARE INT'L HOLDING LIMITED","阿波羅衛浴國際控股有限公司","Company Registration Number 1591933 Limited","公司註冊編號 1591933 有限公司"," 28-05-2012"
9,"1342831","ACER COMPUTER (HK) LIMITED","宏基電腦(香港)有限公司","Company Registration Number 1342831 Limited","公司註冊編號 1342831 有限公司"," 30-01-2012"
10,"1584827","ACHR COMPANY LIMITED","溫州華潤電機有限公司","ACHR COMPANY LIMITED","公司註冊編號 1584827 有限公司"," 14-02-2012"
11,"2779738","ACNE (SWEDEN) INTERNATIONAL FASHION CO., LIMITED","艾克妮(瑞典)國際時尚有限公司","Company Registration Number 2779738 Limited","艾克妮(瑞典)國際時尚有限公司"," 30-09-2019"
12,"2931487","ADIDAS AG LIMITED","阿迪達斯有限公司","Company Registration Number 2931487 Limited","公司註冊編號 2931487 有限公司"," 26-04-2022"
13,"2300024","ADIDAS ORIGINALS INTERNATIONAL LIMITED","阿迪達斯三葉草國際有限公司","Company Registration Number 2300024 Limited","公司註冊編號 2300024 有限公司"," 29-08-2017"
14,"1617610","AIMA ELECTRICAL (CHINA) SHARES LIMITED","愛瑪電器(中國)股份有限公司","Company Registration Number 1617610 Limited","公司註冊編號 1617610 有限公司"," 03-04-2012"
15,"1616147","AIMA ELECTROMBILE (TIANJIN) INDUSTRY LIMITED","愛瑪電動車(天津)實業有限公司","Company Registration Number 1616147 Limited","公司註冊編號 1616147 有限公司"," 05-03-2012"
16,"1672184","AIMA INTERNATIONAL CO., LIMITED","璦瑪國際有限公司","Company Registration Number 1672184 Limited","公司註冊編號 1672184 有限公司"," 22-05-2012"
17,"3028313","AIMOSHENG GROUP LIMITED","愛默生集團有限公司","Company Registration Number 3028313 Limited","公司註冊編號 3028313 有限公司"," 02-06-2022"
18,"1923901","AISHIQI CROCODILE APPAREL LIMITED","艾仕奇鱷魚服飾有限公司","Company Registration Number 1923901 Limited","公司註冊編號 1923901 有限公司"," 14-04-2014"
19,"1712180","ALIEXPRESS DIGI-TECH CO., LIMITED","","Company Registration Number 1712180 Limited",""," 02-06-2015"
20,"1912087","ALIYUN INTERNATIONAL (HONGKONG) GROUP CO., LIMITED","阿裡雲國際(香港)集團有限公司","Company Registration Number 1912087 Limited","公司註冊編號 1912087 有限公司"," 25-08-2014"
21,"2064547","AMERICA BULL ELECTRIC GROUP (HK) LIMITED","美國公牛電器集團(香港)有限公司","Company Registration Number 2064547 Limited","公司註冊編號 2064547 有限公司"," 11-09-2014"
22,"1947913","AMERICA EXXON MOBIL OIL GROUP SCIENTIFIC RESEARCH LIMITED","美國埃克森美孚石油集團科研有限公司","Company Registration Number 1947913 Limited","公司註冊編號 1947913 有限公司"," 07-01-2015"
